epoch,step,train_loss,train_loss_epoch
0,1220,0.05807362124323845,
0,2441,0.05420100688934326,
0,3662,0.04557096213102341,
0,4883,0.048729266971349716,
0,6103,,0.05309520661830902
1,6104,0.0450572669506073,
1,7325,0.046533867716789246,
1,8546,0.0450403094291687,
1,9767,0.04393059015274048,
1,10988,0.04591941088438034,
1,12207,,0.04577752575278282
2,12209,0.0451776385307312,
2,13430,0.047407545149326324,
2,14651,0.04357793927192688,
2,15872,0.04597463458776474,
2,17093,0.04409019649028778,
2,18311,,0.04490254819393158
3,18314,0.04495199769735336,
3,19535,0.043864525854587555,
3,20756,0.04398806393146515,
3,21977,0.045441120862960815,
3,23198,0.04397593066096306,
3,24415,,0.04429083690047264
4,24419,0.043419282883405685,
4,25640,0.04327917844057083,
4,26861,0.043461065739393234,
4,28082,0.04417554661631584,
4,29303,0.04296625033020973,
4,30519,,0.04365440085530281
5,30524,0.04374581575393677,
5,31745,0.04307420551776886,
5,32966,0.043386250734329224,
5,34187,0.04404212534427643,
5,35408,0.04256340116262436,
5,36623,,0.043108124285936356
6,36629,0.04411521553993225,
6,37850,0.04233482852578163,
6,39071,0.040871135890483856,
6,40292,0.0424092561006546,
6,41513,0.04184982180595398,
6,42727,,0.04256560653448105
7,42734,0.04388799890875816,
7,43955,0.0417904332280159,
7,45176,0.04475952684879303,
7,46397,0.040899232029914856,
7,47618,0.04425311088562012,
7,48831,,0.04208671674132347
8,48839,0.04224003851413727,
8,50060,0.039676543325185776,
8,51281,0.04402851313352585,
8,52502,0.04049783945083618,
8,53723,0.042753275483846664,
8,54935,,0.04163070768117905
9,54944,0.04133808612823486,
9,56165,0.03947064280509949,
9,57386,0.0416034571826458,
9,58607,0.04022488370537758,
9,59828,0.04305890575051308,
9,61039,,0.04126463085412979
10,61049,0.0402996689081192,
10,62270,0.040834940969944,
10,63491,0.040933459997177124,
10,64712,0.03989415615797043,
10,65933,0.041536081582307816,
10,67143,,0.0409281887114048
11,67154,0.039341241121292114,
11,68375,0.04212291166186333,
11,69596,0.04064891114830971,
11,70817,0.041009314358234406,
11,72038,0.041531823575496674,
11,73247,,0.04060627892613411
12,73259,0.038160838186740875,
12,74480,0.040040068328380585,
12,75701,0.04000922664999962,
12,76922,0.041198473423719406,
12,78143,0.040359023958444595,
12,79351,,0.04034698009490967
13,79364,0.04087037220597267,
13,80585,0.04086427390575409,
13,81806,0.04018678143620491,
13,83027,0.040882281959056854,
13,84248,0.039957594126462936,
13,85455,,0.040076080709695816
14,85469,0.041598547250032425,
14,86690,0.039731577038764954,
14,87911,0.03791598603129387,
14,89132,0.03976065665483475,
14,90353,0.039204321801662445,
14,91559,,0.03985332325100899
15,91574,0.04153108596801758,
15,92795,0.03883517533540726,
15,94016,0.040641963481903076,
15,95237,0.03976820409297943,
15,96458,0.038381628692150116,
15,97663,,0.03965960443019867
16,97679,0.040836136788129807,
16,98900,0.039319541305303574,
16,100121,0.04062750190496445,
16,101342,0.03937700390815735,
16,102563,0.0385943204164505,
16,103767,,0.03941255062818527
17,103784,0.04062700271606445,
17,105005,0.038564786314964294,
17,106226,0.04102513939142227,
17,107447,0.03803623840212822,
17,108668,0.03969385474920273,
17,109871,,0.03922480717301369
18,109889,0.039502013474702835,
18,111110,0.03871689736843109,
18,112331,0.039367079734802246,
18,113552,0.03728877753019333,
18,114773,0.04116866737604141,
18,115975,,0.03907215595245361
19,115994,0.03866232931613922,
19,117215,0.039168331772089005,
19,118436,0.038442157208919525,
19,119657,0.03671901673078537,
19,120878,0.04008496552705765,
19,122079,,0.03889651224017143
20,122099,0.03822185844182968,
20,123320,0.04031551629304886,
20,124541,0.038491252809762955,
20,125762,0.03926561772823334,
20,126983,0.039087925106287,
20,128183,,0.03875890374183655
21,128204,0.03688766062259674,
21,129425,0.04011421650648117,
21,130646,0.03815954178571701,
21,131867,0.03938441351056099,
21,133088,0.039087120443582535,
21,134287,,0.03857383504509926
22,134309,0.03581670671701431,
22,135530,0.03931427374482155,
22,136751,0.03792136162519455,
22,137972,0.038725823163986206,
22,139193,0.03883679211139679,
22,140391,,0.038458894938230515
23,140414,0.03894219547510147,
23,141635,0.03792710229754448,
23,142856,0.03920518234372139,
23,144077,0.03784864395856857,
23,145298,0.03708744794130325,
23,146495,,0.038311202079057693
24,146519,0.038794342428445816,
24,147740,0.03768172860145569,
24,148961,0.03980128839612007,
24,150182,0.037857457995414734,
24,151403,0.036849264055490494,
24,152599,,0.03825750574469566
25,152624,0.0397619754076004,
25,153845,0.036455750465393066,
25,155066,0.03872937709093094,
25,156287,0.03789281100034714,
25,157508,0.039058636873960495,
25,158703,,0.038132790476083755
26,158729,0.03775351494550705,
26,159950,0.03767494484782219,
26,161171,0.03903660923242569,
26,162392,0.03751812130212784,
26,163613,0.037022098898887634,
26,164807,,0.03800042346119881
27,164834,0.037384115159511566,
27,166055,0.03543896600604057,
27,167276,0.03931894153356552,
27,168497,0.03732534497976303,
27,169718,0.03836118429899216,
27,170911,,0.037936292588710785
28,170939,0.03668249025940895,
28,172160,0.03734975308179855,
28,173381,0.03773454949259758,
28,174602,0.037418097257614136,
28,175823,0.03954940289258957,
28,177015,,0.03782603144645691
29,177044,0.037213414907455444,
29,178265,0.03725592792034149,
29,179486,0.03799324482679367,
29,180707,0.03622017055749893,
29,181928,0.03910025954246521,
29,183119,,0.0377274751663208
30,183149,0.0370376780629158,
30,184370,0.03850369155406952,
30,185591,0.0368809774518013,
30,186812,0.03583209216594696,
30,188033,0.038485098630189896,
30,189223,,0.03766259178519249
31,189254,0.03627901151776314,
31,190475,0.03893771395087242,
31,191696,0.03760382533073425,
31,192917,0.03859565034508705,
31,194138,0.0383266843855381,
31,195327,,0.03753014653921127
32,195359,0.03640948235988617,
32,196580,0.03807409852743149,
32,197801,0.03731095790863037,
32,199022,0.038278914988040924,
32,200243,0.037261586636304855,
32,201431,,0.03745279461145401
33,201464,0.0365469753742218,
33,202685,0.037762030959129333,
33,203906,0.03622809797525406,
33,205127,0.037349872291088104,
33,206348,0.03732222318649292,
33,207535,,0.037409547716379166
34,207569,0.03927601873874664,
34,208790,0.03743143007159233,
34,210011,0.038603756576776505,
34,211232,0.037041716277599335,
34,212453,0.03619370236992836,
34,213639,,0.03729591518640518
35,213674,0.03845246136188507,
35,214895,0.03634205460548401,
35,216116,0.03827114775776863,
35,217337,0.03757078945636749,
35,218558,0.034553803503513336,
35,219743,,0.03722738102078438
36,219779,0.03666548803448677,
36,221000,0.03547399491071701,
36,222221,0.03845246881246567,
36,223442,0.03750572353601456,
36,224663,0.03766404837369919,
36,225847,,0.037223849445581436
37,225884,0.037802863866090775,
37,227105,0.035573139786720276,
37,228326,0.038131505250930786,
37,229547,0.03699668496847153,
