epoch,step,train_loss,train_loss_epoch
100,610499,0.05315912514925003,
100,611720,0.047923795878887177,
100,612941,0.048508986830711365,
100,614162,0.04762323945760727,
100,615383,0.04668488726019859,
100,616503,,0.04814966022968292
101,616604,0.046143606305122375,
101,617825,0.04699157923460007,
101,619046,0.04568975418806076,
101,620267,0.0471712127327919,
101,621488,0.045621320605278015,
101,622607,,0.045966800302267075
102,622709,0.044668857008218765,
102,623930,0.04508809372782707,
102,625151,0.04459120333194733,
102,626372,0.0442466139793396,
102,627593,0.04449757561087608,
102,628711,,0.044862598180770874
103,628814,0.04451249912381172,
103,630035,0.04414539784193039,
103,631256,0.04419694095849991,
103,632477,0.043467819690704346,
103,633698,0.04380909726023674,
103,634815,,0.04388512670993805
104,634919,0.043638668954372406,
104,636140,0.04305700957775116,
104,637361,0.04394441843032837,
104,638582,0.043032992631196976,
104,639803,0.04295613244175911,
104,640919,,0.04304169863462448
105,641024,0.04274296015501022,
105,642245,0.04240803420543671,
105,643466,0.04100368171930313,
105,644687,0.04263937845826149,
105,645908,0.041665829718112946,
105,647023,,0.042261045426130295
106,647129,0.04130249097943306,
106,648350,0.04262915253639221,
106,649571,0.042496368288993835,
106,650792,0.04144721478223801,
106,652013,0.04194929823279381,
106,653127,,0.041545622050762177
107,653234,0.040066298097372055,
107,654455,0.04094722494482994,
107,655676,0.04021913930773735,
107,656897,0.039775483310222626,
107,658118,0.04059058427810669,
107,659231,,0.04083641245961189
108,659339,0.04055275022983551,
108,660560,0.03980279713869095,
108,661781,0.040276192128658295,
108,663002,0.040575407445430756,
108,664223,0.04023515433073044,
108,665335,,0.04023662209510803
109,665444,0.039644405245780945,
109,666665,0.039866067469120026,
109,667886,0.039351582527160645,
109,669107,0.03955505043268204,
109,670328,0.03892034292221069,
109,671439,,0.03962685912847519
110,671549,0.03947483375668526,
110,672770,0.03889496251940727,
110,673991,0.037248168140649796,
110,675212,0.039353881031274796,
110,676433,0.039345331490039825,
110,677543,,0.03908442705869675
111,677654,0.038296256214380264,
111,678875,0.03926245868206024,
111,680096,0.038482360541820526,
111,681317,0.038485247641801834,
111,682538,0.03800266236066818,
111,683647,,0.03859119862318039
112,683759,0.03805279731750488,
112,684980,0.038064971566200256,
112,686201,0.03769334778189659,
112,687422,0.038606151938438416,
112,688643,0.03831353411078453,
112,689751,,0.038119811564683914
113,689864,0.03776799142360687,
113,691085,0.038272347301244736,
113,692306,0.03742532804608345,
113,693527,0.037765394896268845,
113,694748,0.037995364516973495,
113,695855,,0.03774285688996315
114,695969,0.03684335574507713,
114,697190,0.03710426762700081,
114,698411,0.037029556930065155,
114,699632,0.036959946155548096,
114,700853,0.037275783717632294,
114,701959,,0.03735506534576416
115,702074,0.0376286506652832,
115,703295,0.03693798556923866,
115,704516,0.03700589761137962,
115,705737,0.03735078126192093,
115,706958,0.03715422749519348,
115,708063,,0.037000253796577454
116,708179,0.03665859252214432,
116,709400,0.03728015720844269,
116,710621,0.036881785839796066,
116,711842,0.03719736635684967,
116,713063,0.03609713912010193,
116,714167,,0.03662215545773506
117,714284,0.03623351827263832,
117,715505,0.036310210824012756,
117,716726,0.0362122505903244,
117,717947,0.03686010465025902,
117,719168,0.03624049574136734,
117,720271,,0.03632447123527527
118,720389,0.0360688716173172,
118,721610,0.03612898290157318,
118,722831,0.03609190508723259,
118,724052,0.03588090091943741,
118,725273,0.03546644747257233,
118,726375,,0.03602218255400658
119,726494,0.03509575128555298,
119,727715,0.036408402025699615,
119,728936,0.03554142266511917,
119,730157,0.0355195626616478,
119,731378,0.03581808879971504,
119,732479,,0.03576108068227768
120,732599,0.0353432223200798,
120,733820,0.03543315827846527,
120,735041,0.035197000950574875,
120,736262,0.035406988114118576,
120,737483,0.035332582890987396,
120,738583,,0.035504940897226334
121,738704,0.034881480038166046,
121,739925,0.03462771326303482,
121,741146,0.034636322408914566,
121,742367,0.03479870781302452,
121,743588,0.034746862947940826,
121,744687,,0.03521396964788437
122,744809,0.0354880653321743,
122,746030,0.03528355807065964,
122,747251,0.03482857719063759,
122,748472,0.03536809980869293,
122,749693,0.035833992063999176,
122,750791,,0.03500579670071602
123,750914,0.03441670536994934,
123,752135,0.03525305911898613,
123,753356,0.03507251664996147,
