epoch,step,train_loss,train_loss_epoch
200,1220999,0.060933906584978104,
200,1222220,0.05248803645372391,
200,1223441,0.05193956568837166,
200,1224662,0.0522567480802536,
200,1225883,0.04816906526684761,
200,1226903,,0.05240045115351677
201,1227104,0.049191929399967194,
201,1228325,0.047086913138628006,
201,1229546,0.04828830063343048,
201,1230767,0.045724935829639435,
201,1231988,0.04749235138297081,
201,1233007,,0.04761067032814026
202,1233209,0.04754113405942917,
202,1234430,0.04553118348121643,
202,1235651,0.045100681483745575,
202,1236872,0.04672344774007797,
202,1238093,0.04647595435380936,
202,1239111,,0.04592350497841835
203,1239314,0.04545591026544571,
203,1240535,0.04386286810040474,
203,1241756,0.046411603689193726,
203,1242977,0.043596524745225906,
203,1244198,0.04478607326745987,
203,1245215,,0.04484483599662781
204,1245419,0.04347437992691994,
204,1246640,0.04392387717962265,
204,1247861,0.04464683681726456,
204,1249082,0.04276682063937187,
204,1250303,0.04367095232009888,
204,1251319,,0.0442022867500782
205,1251524,0.04270459711551666,
205,1252745,0.04499474912881851,
205,1253966,0.04300815612077713,
205,1255187,0.044069260358810425,
205,1256408,0.04407958686351776,
205,1257423,,0.043657589703798294
206,1257629,0.042674921452999115,
206,1258850,0.044746916741132736,
206,1260071,0.043785642832517624,
206,1261292,0.04198499768972397,
206,1262513,0.04380993917584419,
206,1263527,,0.04319038242101669
207,1263734,0.04288709908723831,
207,1264955,0.0432664155960083,
207,1266176,0.043692074716091156,
207,1267397,0.04282790794968605,
207,1268618,0.04183809459209442,
207,1269631,,0.04281066358089447
208,1269839,0.04385910928249359,
208,1271060,0.041118886321783066,
208,1272281,0.042622003704309464,
208,1273502,0.04281700775027275,
208,1274723,0.04165619611740112,
208,1275735,,0.04242302477359772
209,1275944,0.042240165174007416,
209,1277165,0.04194587841629982,
209,1278386,0.042979903519153595,
209,1279607,0.04193992167711258,
209,1280828,0.04176101088523865,
209,1281839,,0.042151790112257004
210,1282049,0.04315587878227234,
210,1283270,0.041917942464351654,
210,1284491,0.042223043739795685,
210,1285712,0.04211343452334404,
210,1286933,0.04270558059215546,
210,1287943,,0.04186972603201866
211,1288154,0.03993291035294533,
211,1289375,0.04229413717985153,
211,1290596,0.041950568556785583,
211,1291817,0.04018865153193474,
211,1293038,0.04201018065214157,
211,1294047,,0.041520681232213974
212,1294259,0.04040456563234329,
212,1295480,0.042615052312612534,
212,1296701,0.04087197780609131,
212,1297922,0.04239819198846817,
212,1299143,0.040571969002485275,
212,1300151,,0.04134572669863701
213,1300364,0.04160457104444504,
213,1301585,0.041898004710674286,
213,1302806,0.041046202182769775,
213,1304027,0.04153747111558914,
213,1305248,0.04142538458108902,
213,1306255,,0.04110546037554741
214,1306469,0.04069513455033302,
214,1307690,0.04172902926802635,
214,1308911,0.040248095989227295,
214,1310132,0.04060313478112221,
214,1311353,0.04165023937821388,
214,1312359,,0.040881894528865814
215,1312574,0.04086461290717125,
215,1313795,0.04111866652965546,
215,1315016,0.0401497408747673,
215,1316237,0.04053988307714462,
215,1317458,0.04039905220270157,
215,1318463,,0.04061396047472954
216,1318679,0.041424479335546494,
216,1319900,0.038980163633823395,
216,1321121,0.0407361164689064,
216,1322342,0.03994210064411163,
216,1323563,0.04124602675437927,
216,1324567,,0.04049446061253548
217,1324784,0.04171144217252731,
217,1326005,0.03906789422035217,
217,1327226,0.040659889578819275,
217,1328447,0.039927609264850616,
217,1329668,0.041218824684619904,
217,1330671,,0.040299393236637115
218,1330889,0.03928960859775543,
218,1332110,0.040547192096710205,
218,1333331,0.04096507653594017,
218,1334552,0.039274170994758606,
